ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,Num_cooling_AC,Num_month_cooling,Cool_hr_weekday
1,1,2,3,9,1,1,0,0,1,0,1,4,15
2,1,2,3,9,1,1,0,0,1,0,0,0,0
3,0,4,7,9,2,2,0,0,7,1,1,5,21
4,0,3,5,9,2,5,0,2,5,1,1,2,1.5
5,1,3,6,9,2,3,1,0,3,1,2,4,4.5
6,0,3,6,9,2,3,1,1,3,1,1,4,15
7,0,3,1,9,1,1,0,0,1,0,1,3,9
8,1,3,2,9,1,1,0,0,1,0,1,5,9
9,0,3,7,9,2,1,0,0,2,0,1,4,4.5
11,0,2,2,9,1,1,0,0,1,0,1,2,9
12,1,3,7,9,2,1,0,0,4,0,1,5,4.5
13,0,4,6,9,2,5,1,3,2,0,1,3,1.5
16,1,3,7,7,2,1,0,0,2,0,1,4,1.5
18,0,3,5,9,2,1,0,0,2,0,1,5,4.5
19,0,3,6,9,2,2,0,0,3,0,2,4,9
20,0,4,7,9,2,5,1,2,4,0,4,3,4.5
21,1,3,4,9,1,1,0,0,1,0,1,4,4.5
22,1,3,7,7,2,3,1,1,3,0,1,2,1.5
23,0,3,1,9,1,2,0,0,1,0,3,4,9
24,1,2,1,9,1,1,0,0,1,0,1,3,9
25,0,2,4,9,1,1,0,0,3,0,1,5,4.5
26,0,2,1,9,1,2,1,1,3,1,3,3,1.5
28,0,3,7,9,2,1,0,0,3,0,1,2,9
29,0,3,5,7,2,1,0,0,5,0,2,3,9
30,1,3,1,9,1,1,0,0,1,0,1,4,4.5
31,1,2,1,7,1,5,0,1,2,1,2,3,4.5
32,1,2,5,9,2,6,0,0,6,0,4,5,21
33,0,3,7,9,2,1,0,0,4,0,2,2,1.5
34,0,3,6,9,2,6,0,0,6,0,2,4,1.5
35,0,2,1,7,1,1,0,0,1,0,1,3,4.5
37,0,4,7,7,2,2,0,1,6,1,1,2,1.5
38,0,3,4,9,2,1,0,0,2,0,1,4,1.5
39,1,2,2,7,2,2,0,0,2,0,4,2,4.5
41,1,3,4,9,2,1,0,0,1,0,1,4,21
42,0,2,1,9,1,1,0,0,1,0,1,4,4.5
43,0,2,1,9,1,3,0,1,3,1,1,4,4.5
44,1,2,1,6,2,1,0,0,5,1,0,0,0
46,0,3,1,9,1,2,0,0,1,1,1,5,9
47,1,2,3,9,1,3,0,0,4,1,2,2,1.5
48,0,3,4,9,2,2,0,0,3,0,1,5,1.5
49,0,2,3,7,1,1,0,0,7,0,2,5,4.5
50,1,3,1,9,1,1,0,0,1,0,1,5,1.5
51,0,2,2,9,1,1,0,0,3,0,1,4,9
52,1,3,6,9,2,1,0,0,7,0,1,3,15
53,1,3,2,6,2,3,0,0,5,0,3,5,1.5
54,0,3,6,9,2,1,0,0,2,0,1,3,1.5
55,0,2,1,9,1,1,0,0,1,0,1,5,4.5
56,0,3,6,9,2,3,1,0,4,1,3,4,4.5
57,0,3,7,9,2,1,0,0,4,0,1,4,1.5
58,0,3,5,9,2,1,0,2,2,1,1,3,1.5
59,1,3,7,9,2,1,0,0,7,1,3,1,1.5
60,1,3,7,9,2,2,0,0,3,0,1,2,1.5
61,0,3,6,7,2,4,1,2,4,0,2,5,15
63,0,3,6,7,2,1,0,0,2,0,1,3,4.5
65,0,2,6,9,2,1,0,0,3,1,1,5,4.5
66,0,3,6,9,2,1,0,0,2,0,2,2,1.5
67,1,3,5,9,2,4,1,1,4,0,2,4,1.5
68,0,2,1,9,1,2,0,0,2,1,2,3,4.5
69,0,3,5,9,2,1,0,0,2,0,1,4,9
70,0,3,6,9,2,2,0,0,5,0,1,3,4.5
71,0,2,3,7,1,1,0,0,1,0,1,3,1.5
72,0,3,4,9,2,1,0,0,2,0,1,4,1.5
73,1,3,7,7,2,1,0,0,4,0,1,4,1.5
74,1,3,2,9,1,2,0,0,1,0,1,5,1.5
75,0,3,7,9,2,4,1,1,4,1,3,2,4.5
76,1,3,5,7,2,1,0,0,2,1,2,5,1.5
77,0,4,7,9,2,3,1,0,7,1,4,4,1.5
78,0,3,2,9,1,1,0,0,1,0,1,4,4.5
79,0,3,1,9,1,1,0,0,1,0,1,2,1.5
80,1,3,2,9,1,1,0,0,1,0,3,4,4.5
81,0,3,6,9,2,4,0,1,4,0,3,6,4.5
82,1,2,1,9,1,1,0,0,1,0,1,3,4.5
84,1,2,4,7,2,1,0,0,1,0,1,4,1.5
85,1,2,7,9,1,5,0,1,7,1,2,2,9
86,1,2,7,9,2,2,0,0,4,0,1,4,4.5
87,0,2,7,9,2,3,0,0,6,1,3,3,1.5
88,0,3,6,9,2,6,2,2,5,1,3,3,4.5
89,1,3,1,9,1,1,0,0,1,0,1,3,4.5
90,0,4,6,7,2,2,1,0,4,0,2,2,1.5
91,0,3,6,9,2,3,0,1,2,0,1,3,1.5
92,0,2,1,7,1,4,1,0,5,1,4,4,1.5
93,0,3,6,9,2,1,0,0,2,0,1,4,1.5
94,0,3,5,9,2,1,0,0,2,0,1,3,1.5
95,1,3,1,9,1,3,0,0,7,1,4,3,4.5
96,0,3,2,9,1,1,0,0,1,0,1,6,1.5
98,0,5,7,9,2,3,1,0,6,0,2,2,4.5
99,0,2,1,9,1,1,0,0,1,0,1,4,4.5
101,0,3,7,9,2,2,0,0,4,0,1,2,1.5
102,1,3,6,9,2,1,0,0,2,0,1,3,4.5
103,0,3,3,9,2,1,0,0,1,0,4,3,4.5
104,0,2,5,7,2,2,0,0,3,0,1,4,4.5
105,0,5,4,9,4,2,0,2,4,0,1,2,1.5
106,1,4,7,9,2,3,1,2,4,1,2,4,4.5
107,0,3,1,9,1,3,0,1,4,1,2,3,9
108,1,2,3,9,1,1,0,0,1,0,1,3,9
109,0,2,2,9,1,1,0,0,1,0,1,4,1.5
110,0,3,1,9,1,1,0,0,1,0,1,3,4.5
111,1,4,7,7,2,1,0,0,3,0,1,3,4.5
112,1,3,5,7,2,2,0,0,3,0,3,4,4.5
113,1,3,7,9,2,1,0,1,5,0,1,4,1.5
114,0,3,7,7,2,3,0,1,3,0,3,5,9
115,0,3,6,9,2,1,1,2,3,0,3,4,4.5
116,0,3,6,7,2,1,0,0,1,0,1,4,4.5
117,0,3,1,9,1,3,0,0,4,1,1,4,9
120,1,2,3,9,2,3,0,0,3,0,1,3,1.5
121,1,2,4,7,2,3,0,0,2,1,1,3,4.5
122,1,2,1,9,1,3,0,0,2,1,2,4,1.5
123,1,2,1,9,1,1,0,0,1,0,1,4,4.5
124,0,3,1,7,2,1,1,1,1,0,1,3,1.5
125,0,2,1,7,1,1,0,0,1,0,3,3,4.5
126,1,3,7,9,2,4,1,2,5,1,3,3,9
127,1,4,6,9,2,5,1,2,4,1,2,4,1.5
128,0,3,7,9,2,5,1,2,5,1,4,3,9
129,1,3,7,9,2,1,0,0,3,0,1,4,4.5
130,1,3,3,9,1,1,0,0,1,0,1,4,9
131,1,3,3,9,2,1,0,0,2,0,1,3,9
132,1,2,7,9,2,3,0,0,3,1,3,2,1.5
133,1,2,1,7,1,3,0,0,1,1,1,2,1.5
